SAMPLE_NAME,Frequency
Lavaux_2022-08-10_must_Plot15,137.0
Valais_51,137.0
Sav_3_30-08-2023_berries,136.0
Lavaux_2021-09-30_must_Plot20_Row10/Vine30_ID212,135.0
21DL05S_2751_lees,135.0
Lavaux_2022-09-09_must_Plot12_RepC,135.0
SB_PBS_berry_wash_2,134.0
Rebhalde_14-09-2023_berries,134.0
SB_must_4deg_72h_1,134.0
Wine_by_Jet_14-09-2023_berries,133.0
SB_must_4deg_24h_3,132.0
21DL02S_51_lees,132.0
Lavaux_2021-09-30_must_Plot12_Row4/Vine30_ID83,132.0
SB_PBS_berry_sonication_3,132.0
DO NOT USE (DUPLICATE),131.0
SB_gylcerol_berry_wash_1,131.0
Lavaux_2021-09-30_must_Plot20_Row2/Vine11_ID199,131.0
22DL04M_5657_wine,131.0
Lavaux_2023-09-20_must_Plot13_RepB,130.0
visc_4deg_3,130.0
PCR1water_PCR2water-PNA_2,129.0
Lavaux_2022-03-08_soil_Plot19,128.0
PCR1water_PCR2noPNA_1,127.0
Lavaux_2021-09-30_must_Plot17_Row15/Vine21_ID175,127.0
Lavaux_2023-09-20_must_Plot13_RepD,126.0
21DL07M_1083_wine,125.0
21DL06M_54_lees,125.0
Lavaux_2023-09-20_must_Plot12_RepA,125.0
MV_Post-AF_Plot17_2023-10-11,125.0
Lavaux_2021-08-31_must_Plot5,124.0
Lavaux_2022-08-10_must_Plot9,124.0
DO NOT USE (DUPLICATE),123.0
22DL03S_4618_lees,123.0
22DL04M_8415_wine,123.0
,123.0
DO NOT USE (DUPLICATE),121.0
,120.0
empty,118.0
Lavaux_2022-09-09_must_Plot5_RepC,118.0
22DL02M_4622_wine,116.0
Lavaux_2023-09-20_must_Plot20_RepB,115.0
Valais_32,115.0
DO NOT USE (DUPLICATE),115.0
empty,114.0
DO NOT USE (DUPLICATE),114.0
,114.0
22DL04M_4621_wine,113.0
Lavaux_2021-09-30_must_Plot11_Row9/Vine20_ID74,113.0
Lavaux_2021-08-31_leaf_Plot19_washed,112.0
MV_Post-AF_Plot20_Rep3_2021-10-16,111.0
DNA41_negCtrl_1,111.0
22DL05S_5653_wine,111.0
