id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_332-LP3-ITS-0332	DNA15_PosCtrl	PosCtrl	SoilColonialization	DNA15	P4	12.75
364525_211-LP3-ITS-0211	Lavaux_2022-09-09_must_Plot4_RepA	Sample	Lavaux	DNA14	P3	1.72
364525_448-LP3-ITS-0448	SB_gylcerol_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	6.4
364525_449-LP3-ITS-0449	SB_gylcerol_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	4.16
364525_328-LP3-ITS-0328	Erlenbach_2022-06-03_1	Sample	SoilColonialization	DNA15	P4	5.1
364525_337-LP3-ITS-0337	Erlenbach_2022-06-03_2	Sample	SoilColonialization	DNA15	P4	1.07
364525_216-LP3-ITS-0216	Lavaux_2022-08-10_must_Plot15	Sample	Lavaux	DNA14	P3	13.07
364525_217-LP3-ITS-0217	Lavaux_2021-09-30_must_Plot11_Row8/Vine30_ID72	Sample	Lavaux	DNA14	P3	0.55
364525_454-LP3-ITS-0454	cotton_tips_2	Sample	SamplingBenchmarking	DNA17	P5	2.18
364525_333-LP3-ITS-0333	Erlenbach_2022-10-20_1	Sample	SoilColonialization	DNA15	P4	4.09
364525_212-LP3-ITS-0212	Lavaux_2022-09-09_must_Plot9_RepC	Sample	Lavaux	DNA14	P3	1.81
364525_455-LP3-ITS-0455	cotton_tips_3	Sample	SamplingBenchmarking	DNA17	P5	3.59
364525_334-LP3-ITS-0334	Erlenbach_2022-06-03_3	Sample	SoilColonialization	DNA15	P4	1.19
364525_213-LP3-ITS-0213	Lavaux_2022-09-09_must_Plot13_RepE	Sample	Lavaux	DNA14	P3	4.84
364525_456-LP3-ITS-0456	DNA17_NegCtrl	NegCtrl	SamplingBenchmarking	DNA17	P5	0.001
364525_335-LP3-ITS-0335	Grenchen_2022-07-02_2B	Sample	SoilColonialization	DNA15	P4	3.39
364525_214-LP3-ITS-0214	DNA14_NegCtrl_1	NegCtrl	Lavaux	DNA14	P3	0.001
364525_457-LP3-ITS-0457	must_min20_1	Sample	SamplingBenchmarking	DNA17	P5	5.06
364525_336-LP3-ITS-0336	Erlenbach_2022-06-30_1	Sample	SoilColonialization	DNA15	P4	8.27
364525_215-LP3-ITS-0215	Lavaux_2022-09-09_must_Plot20_RepB	Sample	Lavaux	DNA14	P3	1.73
364525_418-LP3-ITS-0418	SB_swab(cotton)_freeze_immediately_2	Sample	SamplingBenchmarking	DNA17	P5	7.45
364525_419-LP3-ITS-0419	SB_swab(cotton)_freeze_immediately_3	Sample	SamplingBenchmarking	DNA17	P5	15.53
364525_420-LP3-ITS-0420	SB_swab(cotton)_4deg_24h_1	Sample	SamplingBenchmarking	DNA17	P5	10.49
364525_425-LP3-ITS-0425	SB_must_freeze_immediately_3	Sample	SamplingBenchmarking	DNA17	P5	4.28
364525_426-LP3-ITS-0426	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	6.75
364525_427-LP3-ITS-0427	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA17	P5	7.92
