SAMPLE_NAME,Frequency
22DL05S_4763_lees,165.0
,164.0
Lavaux_2021-09-30_must_Plot17_Row17/Vine40_ID180,163.0
MV_Post-AF_Plot19_2023-10-11,162.0
Lavaux_2021-09-30_must_Plot12_Row5/Vine20_ID85,162.0
MV_Must_Plot15_2023-09-23,162.0
Lavaux_2021-09-30_must_Plot12_Row7/Vine60_ID93,161.0
Lavaux_2021-08-31_must_Plot17,160.0
Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16,159.0
Lavaux_2022-09-09_must_Plot12_RepD,159.0
Lavaux_2022-09-09_must_Plot5_RepE,159.0
364528_554-LP3-16S-1130,158.0
DO NOT USE (DUPLICATE),158.0
Lavaux_2021-08-31_soil_Plot20,158.0
Valais_89,156.0
Lavaux_2021-09-30_must_Plot19_Row4/Vine11_ID198,155.0
Lavaux_2021-08-31_must_Plot13,154.0
PCR1water_PCR2water-noPNA_1,154.0
Lavaux_2023-08-24_bark_Plot13,154.0
Lavaux_2021-09-30_must_Plot20_Row8/Vine30_ID209,154.0
MV_Post-MLF_Plot17_2023-12-11,154.0
Leytron_Agroscope4_30-08-2023_berries,154.0
Lavaux_2023-09-20_must_Plot9_RepE,153.0
DO NOT USE (DUPLICATE),153.0
Lavaux_2021-09-30_must_Plot14_Row10/Vine4_ID111,153.0
Lavaux_2021-09-30_must_Plot11_Row4/Vine50_ID63,153.0
DO NOT USE (DUPLICATE),151.0
DO NOT USE (DUPLICATE),150.0
Lavaux_2021-09-30_must_Plot15_Row8/Vine10_ID130,150.0
Lavaux_2022-09-09_must_Plot15_RepC,149.0
Lavaux_2022-09-09_must_Plot5_RepD,149.0
Lavaux_2023-08-24_bark_Plot17,149.0
Lavaux_2022-09-09_must_Plot19_RepD,148.0
Lavaux_2021-09-30_must_Plot17_Row18/Vine20_ID182,147.0
Lavaux_2021-09-30_must_Plot15_Row8/Vine29_ID131c,146.0
Valais_82,145.0
Lavaux_2021-09-30_must_Plot13_Row4/Vine20_ID99,144.0
22DL03S_8059_wine,143.0
Valais_55,143.0
MV_Post-MLF_Plot20_2022-01-24,142.0
SB_must_4deg_24h_2,141.0
visc_min20_3,140.0
empty,139.0
SB_must_RT_immediately_2,136.0
DO NOT USE (DUPLICATE),135.0
DO NOT USE (DUPLICATE),134.0
empty,133.0
Valais_19,132.0
must_4deg_1,132.0
Sav_3_30-08-2023_berries,131.0
Lavaux_2021-09-30_must_Plot15_Row13/Vine20_ID139,131.0
Lavaux_2021-08-31_leaf_Plot9_washed,131.0
Lavaux_2021-09-30_must_Plot20_Row7/Vine20_ID207,131.0
Lavaux_2021-09-30_must_Plot14_Row16/Vine4_ID117,130.0
Valais_27,130.0
Valais_69,130.0
DO NOT USE (DUPLICATE),127.0
Rebhalde_14-09-2023_berries,125.0
Lavaux_2021-09-30_must_Plot14_Row7/Vine8_ID108,125.0
DO NOT USE (DUPLICATE),125.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine50_ID78,124.0
Lavaux_2021-09-30_must_Plot20_Row2/Vine11_ID199,124.0
SB_PBS_berry_sonication_3,124.0
empty,124.0
22DL07_5656_wine,123.0
SB_PBS_berry_wash_2,122.0
SB_gylcerol_berry_wash_1,122.0
PCR1water_PCR2noPNA_1,120.0
Lavaux_2022-08-10_must_Plot9,120.0
SB_must_4deg_24h_3,120.0
Lavaux_2021-09-30_must_Plot12_Row4/Vine30_ID83,120.0
Lavaux_2021-09-30_must_Plot20_Row10/Vine30_ID212,119.0
MV_Post-AF_Plot4_Rep1_2021-10-16,118.0
22DL04M_8415_wine,118.0
Valais_12,118.0
PCR1water_PCR2water-PNA_2,118.0
Lavaux_2022-03-08_soil_Plot19,118.0
Lavaux_2022-09-09_must_Plot12_RepC,117.0
Lavaux_2021-09-30_must_Plot17_Row15/Vine21_ID175,117.0
Lavaux_2023-09-20_must_Plot13_RepB,117.0
SB_must_4deg_72h_1,117.0
Valais_51,116.0
DO NOT USE (DUPLICATE),116.0
Lavaux_2021-08-31_must_Plot5,115.0
Lavaux_2023-09-20_must_Plot13_RepD,115.0
Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10,114.0
Wine_by_Jet_14-09-2023_berries,114.0
MV_Post-AF_Plot17_2023-10-11,114.0
visc_4deg_3,113.0
21DL07M_1083_wine,113.0
,113.0
Lavaux_2022-08-10_must_Plot15,112.0
empty,111.0
DO NOT USE (DUPLICATE),111.0
Lavaux_2021-08-31_leaf_Plot19_washed,110.0
Lavaux_2021-09-30_must_Plot13_Row1/Vine30_ID95,109.0
DO NOT USE (DUPLICATE),108.0
22DL04M_5657_wine,108.0
Lavaux_2023-09-20_must_Plot20_RepB,107.0
Lavaux_2023-09-20_must_Plot12_RepA,107.0
,106.0
22DL02M_4622_wine,106.0
Valais_32,105.0
empty,105.0
,105.0
Lavaux_2021-09-30_must_Plot11_Row9/Vine20_ID74,104.0
DO NOT USE (DUPLICATE),104.0
22DL04M_4761_wine,103.0
MV_Post-AF_Plot20_Rep3_2021-10-16,102.0
22DL05S_5653_wine,102.0
22DL04M_4621_wine,101.0
Lavaux_2022-09-09_must_Plot5_RepC,101.0
,100.0
22DL07_102_wine,100.0
Lavaux_2021-09-30_must_Plot17_Row4/Vine25_ID150,99.0
22DL01S_4609_lees,98.0
