Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364527_199-LP3-16S-0199	Lavaux_2022-09-09_must_Plot19_RepE	Sample	Lavaux	DNA14	P3	5.3
364527_078-LP3-16S-0078	Lavaux_2021-09-30_must_Plot18_Row6/Vine7_ID189	Sample	Lavaux	DNA11	P1	8.5
364527_321-LP3-16S-0321	Lavaux_2021-08-31_soil_Plot4	Sample	Lavaux	DNA15	P4	2.4
364527_200-LP3-16S-0200	Lavaux_2022-08-10_must_Plot13	Sample	Lavaux	DNA14	P3	7.9
364527_079-LP3-16S-0079	Lavaux_2021-09-30_must_Plot13_Row3/Vine10_ID97	Sample	Lavaux	DNA11	P1	9.5
364527_322-LP3-16S-0322	Lavaux_2021-08-31_soil_Plot9	Sample	Lavaux	DNA15	P4	3.6
364527_201-LP3-16S-0201	Lavaux_2021-09-30_must_Plot17_Row5/Vine45_ID156	Sample	Lavaux	DNA14	P3	7.9
364527_080-LP3-16S-0080	do not use	Sample	NOT-USE	DNA11	P1	7.3
364527_315-LP3-16S-0315	empty	Sample	NOT-USE	DNA15	P4	1.9
364527_194-LP3-16S-0194	Lavaux_2021-09-30_must_Plot11_Row4/Vine50_ID63	Sample	Lavaux	DNA14	P3	6.2
364527_316-LP3-16S-0316	Lavaux_2022-03-08_soil_Plot9	Sample	Lavaux	DNA15	P4	3.2
364527_195-LP3-16S-0195	Lavaux_2021-09-30_must_Plot17_Row10/Vine30_ID166	Sample	Lavaux	DNA14	P3	4.5
364527_074-LP3-16S-0074	Lavaux_2021-09-30_must_Plot15_Row13/Vine39_ID140	Sample	Lavaux	DNA11	P1	6.2
364527_317-LP3-16S-0317	empty	Sample	NOT-USE	DNA15	P4	2.6
364527_196-LP3-16S-0196	Lavaux_2022-09-09_must_Plot9_RepA	Sample	Lavaux	DNA14	P3	5.9
364527_075-LP3-16S-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	Sample	Lavaux	DNA11	P1	7.6
364527_318-LP3-16S-0318	Lavaux_2022-03-08_soil_Plot4	Sample	Lavaux	DNA15	P4	4.8
364527_197-LP3-16S-0197	Lavaux_2022-09-09_must_Plot13_RepC	Sample	Lavaux	DNA14	P3	6.9
364527_076-LP3-16S-0076	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA11	P1	5.8
364527_323-LP3-16S-0323	Lavaux_2021-08-31_soil_Plot17	Sample	Lavaux	DNA15	P4	3.4
364527_202-LP3-16S-0202	Lavaux_2021-09-30_must_Plot17_Row16/Vine10_ID177	Sample	Lavaux	DNA14	P3	5.6
364527_081-LP3-16S-0081	Lavaux_2021-09-30_must_Plot18_Row9/Vine14_ID192	Sample	Lavaux	DNA11	P1	5.2
364527_203-LP3-16S-0203	Lavaux_2021-09-30_must_Plot17_Row5/Vine10_ID152	Sample	Lavaux	DNA14	P3	2.3
364527_082-LP3-16S-0082	Lavaux_2021-09-30_must_Plot11_Row7/Vine15_ID68	Sample	Lavaux	DNA11	P1	4.6
364527_083-LP3-16S-0083	Lavaux_2021-09-30_must_Plot20_Row5/Vine20_ID204	Sample	Lavaux	DNA11	P1	3.8
364527_324-LP3-16S-0324	Lavaux_2021-08-31_soil_Plot11	Sample	Lavaux	DNA15	P4	4.8
